Outcome_ID,Year,Quarter,Department,AI_Tool,Total_Cases,AI_Assisted_Cases,AI_Usage_Rate_%,Avg_Diagnosis_Time_min,Readmission_Rate_%,Mortality_Rate_%,False_Positive_Rate_%,False_Negative_Rate_%,Cost_Per_Case_USD,Patient_Wait_Time_min,Staff_Efficiency_Score,AI_Recommendation_Accepted_%,Critical_Alert_Response_Time_min
OUT_0043,2022,Q2,Oncology,Radiology AI,1622,545,33.6,118.4,3.6,6.23,4.8,3.9,1343.62,124,5.6,73.4,15.4
OUT_0044,2020,Q3,Pathology,AI Drug Discovery,3943,2662,67.5,40.7,5.4,1.48,10.0,1.4,2206.74,29,6.1,67.8,18.2
OUT_0045,2021,Q2,Pathology,AI Pathology,4774,1487,31.1,62.1,14.4,3.54,9.4,7.8,1848.21,145,8.2,60.9,2.0
OUT_0046,2021,Q3,Pediatrics,Patient Monitoring AI,8290,7813,94.2,45.3,17.6,5.29,6.8,3.7,1950.74,88,8.3,65.9,5.7
OUT_0047,2024,Q4,Pediatrics,AI Pathology,3209,2417,75.3,103.8,7.2,6.2,1.4,3.1,2737.13,150,9.8,76.8,7.1
OUT_0048,2022,Q2,Neurology,AI Drug Discovery,5738,4118,71.8,6.7,7.1,2.65,7.4,5.3,2420.66,46,9.3,70.0,23.7
OUT_0049,2022,Q2,Radiology,AI Pathology,6411,3711,57.9,57.9,12.1,0.75,1.2,4.2,647.99,108,6.2,62.3,15.0
OUT_0050,2020,Q3,Radiology,AI Diagnostics,1602,482,30.1,97.5,8.8,6.12,11.5,5.2,2995.52,139,5.4,86.8,19.5
OUT_0051,2021,Q3,Emergency,Clinical Decision Support,3521,1383,39.3,49.5,17.7,5.89,11.6,5.6,2296.94,32,5.1,90.1,11.0
OUT_0052,2020,Q1,Cardiology,NLP for Medical Records,2648,1614,61.0,19.6,12.4,3.49,6.0,1.5,3761.06,129,10.0,94.4,15.8
OUT_0053,2020,Q4,General Medicine,Robotic Surgery AI,8330,6082,73.0,77.3,8.4,2.06,10.5,2.6,1736.23,36,7.8,55.1,12.0
OUT_0054,2022,Q1,Cardiology,AI Diagnostics,8556,7845,91.7,87.3,13.2,2.74,3.1,2.0,4177.71,93,8.0,77.9,29.4
OUT_0055,2020,Q3,ICU,Clinical Decision Support,1356,1101,81.2,88.8,15.2,0.52,4.8,1.3,1435.67,91,6.3,71.6,12.6
OUT_0056,2024,Q1,Surgery,Robotic Surgery AI,7997,7420,92.8,44.7,3.5,7.49,13.3,1.8,4960.39,177,5.4,83.1,19.7
OUT_0057,2023,Q4,Emergency,Patient Monitoring AI,6029,4165,69.1,52.4,17.0,4.63,7.6,9.7,3394.95,74,9.3,63.0,2.4
OUT_0058,2022,Q1,Pediatrics,AI Pathology,6378,2863,44.9,114.7,10.4,5.62,10.0,4.3,853.07,145,7.2,76.3,16.9
OUT_0059,2020,Q4,Neurology,Clinical Decision Support,9795,7449,76.0,112.1,4.5,1.54,1.9,3.1,2882.18,70,5.3,77.6,7.0
OUT_0060,2022,Q4,Surgery,AI Drug Discovery,8454,4482,53.0,37.1,19.6,3.0,2.0,6.9,3055.11,64,7.2,74.9,14.8
OUT_0061,2022,Q2,Surgery,Predictive Analytics,570,524,91.9,30.7,13.9,5.29,4.0,2.1,3487.6,64,9.7,61.6,14.7
OUT_0062,2020,Q4,Neurology,Robotic Surgery AI,1564,1139,72.8,18.0,10.6,2.17,2.2,5.2,2038.05,160,8.3,50.8,7.1
OUT_0063,2021,Q4,Pediatrics,Chatbot Triage,4847,4287,88.4,22.2,18.2,7.74,11.8,8.0,2709.86,88,8.7,64.2,18.1
OUT_0064,2021,Q3,Oncology,Clinical Decision Support,5612,4823,85.9,17.9,18.8,5.36,8.8,1.0,1414.13,43,9.4,81.1,3.1
OUT_0065,2022,Q4,Neurology,Radiology AI,9901,6063,61.2,68.1,17.8,2.87,1.7,3.7,3035.48,146,9.7,92.6,20.2
OUT_0066,2021,Q2,Emergency,Predictive Analytics,1395,965,69.2,43.9,8.2,2.8,5.1,5.4,748.11,19,9.7,83.4,18.2
OUT_0067,2024,Q4,Surgery,Robotic Surgery AI,6452,6100,94.5,85.3,9.0,3.8,7.0,6.3,2117.48,152,9.5,90.6,17.0
OUT_0068,2022,Q4,General Medicine,Radiology AI,6490,2809,43.3,39.9,13.8,6.57,10.9,5.9,2100.34,151,8.4,61.8,28.3
OUT_0069,2023,Q4,Pediatrics,Predictive Analytics,8216,7683,93.5,38.2,14.6,6.49,13.1,1.6,2855.32,168,9.6,67.2,6.4
OUT_0070,2021,Q1,Oncology,Chatbot Triage,7466,3789,50.8,28.1,15.3,3.96,13.4,9.7,544.28,115,7.4,68.0,12.4
OUT_0071,2020,Q1,Emergency,Clinical Decision Support,8890,5900,66.4,96.0,4.4,6.82,8.4,6.8,2610.9,23,6.4,67.4,21.3
OUT_0072,2020,Q1,Neurology,Patient Monitoring AI,4017,1969,49.0,19.7,3.1,4.14,13.8,8.4,4374.23,170,8.2,63.7,12.7
OUT_0073,2023,Q4,Pediatrics,AI Pathology,6817,4752,69.7,52.8,3.8,6.17,7.1,1.9,681.84,46,8.0,89.8,17.8
OUT_0074,2023,Q1,Surgery,Robotic Surgery AI,4894,2775,56.7,15.6,18.2,3.9,5.0,4.0,1232.14,121,8.4,83.6,25.7
OUT_0075,2022,Q2,ICU,NLP for Medical Records,5575,4255,76.3,99.2,17.5,2.57,5.4,9.1,4831.14,180,9.3,57.6,18.3
OUT_0076,2022,Q1,Oncology,Clinical Decision Support,5837,1806,30.9,23.8,7.2,0.65,10.9,5.8,2172.54,70,9.9,69.9,28.2
OUT_0077,2022,Q2,Oncology,Clinical Decision Support,659,520,78.9,64.8,11.8,3.9,3.5,2.1,3382.02,33,6.9,89.8,25.9
OUT_0078,2024,Q1,Emergency,Radiology AI,9000,3103,34.5,115.7,12.6,4.05,1.1,5.8,2704.22,85,7.6,76.8,14.2
OUT_0079,2020,Q3,Pathology,NLP for Medical Records,1058,842,79.6,76.4,18.5,5.66,12.1,6.2,1732.97,142,6.3,74.9,10.4
OUT_0080,2022,Q2,Emergency,Predictive Analytics,8558,6287,73.5,18.6,11.1,2.43,14.9,3.9,2514.8,99,6.7,59.1,15.3
OUT_0081,2023,Q1,Neurology,AI Diagnostics,5197,3318,63.8,13.6,17.7,1.01,5.3,2.0,1698.2,141,5.7,68.9,14.7
OUT_0082,2022,Q4,Neurology,Chatbot Triage,686,289,42.1,65.9,3.6,2.82,8.0,1.5,2351.73,66,6.8,66.4,10.5
OUT_0083,2020,Q4,Emergency,Clinical Decision Support,2869,2413,84.1,85.1,13.5,4.82,9.2,9.1,3516.16,9,6.5,97.6,22.3
OUT_0084,2024,Q2,General Medicine,Robotic Surgery AI,1600,541,33.8,80.2,13.1,1.34,1.2,5.4,3362.91,63,9.4,54.1,18.3
OUT_0085,2023,Q1,Emergency,AI Pathology,9490,7469,78.7,84.2,6.6,2.53,3.0,4.6,4210.84,53,6.5,84.5,29.4
OUT_0086,2024,Q1,Surgery,Patient Monitoring AI,6115,4597,75.2,11.9,10.6,5.77,9.1,8.8,4663.92,103,6.7,97.1,20.9
OUT_0087,2024,Q2,Emergency,Predictive Analytics,204,125,61.3,48.8,14.7,5.65,8.6,8.2,1167.61,49,6.9,88.7,22.5
OUT_0088,2022,Q4,General Medicine,NLP for Medical Records,1304,748,57.4,92.4,7.5,4.52,9.1,7.1,391.85,14,7.4,81.4,29.2
OUT_0089,2023,Q4,Pathology,Predictive Analytics,7427,2722,36.7,39.9,3.0,4.53,1.7,2.5,567.96,177,8.1,67.8,14.3
OUT_0090,2022,Q4,Pediatrics,Predictive Analytics,8526,5508,64.6,83.9,18.6,2.39,2.0,7.4,1996.91,101,7.6,56.7,29.4
OUT_0091,2023,Q3,Oncology,Patient Monitoring AI,9798,4593,46.9,99.0,17.3,5.26,5.1,4.0,711.42,131,9.0,61.4,16.6
OUT_0092,2020,Q2,Neurology,Robotic Surgery AI,4942,3751,75.9,29.4,8.3,0.52,3.6,5.1,2899.69,130,8.3,90.2,25.2
OUT_0093,2022,Q1,ICU,Predictive Analytics,5861,3585,61.2,69.7,6.1,1.95,1.2,8.2,4394.63,8,6.1,60.7,4.3
OUT_0094,2024,Q2,Neurology,Chatbot Triage,5033,3752,74.5,101.3,9.9,6.29,4.0,4.2,3728.81,107,7.0,60.0,10.9
OUT_0095,2021,Q3,General Medicine,Clinical Decision Support,6102,3898,63.9,64.6,13.1,3.61,10.3,8.5,2457.99,125,5.1,70.5,17.8
OUT_0096,2021,Q4,Pediatrics,Chatbot Triage,8997,5069,56.3,91.5,8.9,6.95,2.4,7.5,4128.09,75,5.7,59.5,23.2
OUT_0097,2022,Q4,Cardiology,Predictive Analytics,6069,2894,47.7,106.4,14.7,1.56,11.4,6.8,3361.44,27,5.4,77.0,9.0
OUT_0098,2020,Q1,Pediatrics,AI Diagnostics,3937,1352,34.3,74.1,5.2,4.34,12.0,6.7,4908.25,118,6.8,71.0,22.1
OUT_0099,2023,Q1,Neurology,AI Diagnostics,7087,3016,42.6,118.7,4.6,4.12,5.7,5.4,1383.03,24,6.9,69.8,20.4
OUT_0100,2024,Q1,General Medicine,Chatbot Triage,3583,1375,38.4,100.7,3.7,1.47,2.4,3.6,795.24,82,9.7,85.3,12.7
OUT_0101,2021,Q4,General Medicine,Radiology AI,4044,2815,69.6,59.3,10.8,1.04,12.2,3.7,4341.06,119,7.5,58.9,9.8
OUT_0102,2024,Q2,Neurology,Chatbot Triage,5119,1751,34.2,46.6,13.8,7.95,13.7,2.8,2465.85,95,8.2,75.6,29.2
OUT_0103,2020,Q4,Radiology,Chatbot Triage,534,222,41.6,118.1,14.5,6.76,5.3,2.1,1075.31,146,9.7,80.9,13.4
OUT_0104,2020,Q1,Cardiology,NLP for Medical Records,1344,810,60.3,89.6,6.9,5.86,12.4,1.4,3077.54,60,5.3,91.0,7.6
OUT_0105,2024,Q2,Radiology,NLP for Medical Records,996,651,65.4,116.0,16.6,6.57,9.1,5.4,954.68,75,6.0,86.4,18.5
OUT_0106,2021,Q1,Oncology,AI Pathology,2250,727,32.3,18.6,17.8,2.36,6.7,0.6,2911.74,66,6.2,94.6,27.9
OUT_0107,2023,Q2,Pediatrics,Radiology AI,2585,1014,39.2,41.5,3.6,1.58,4.1,9.1,2907.79,177,9.1,62.5,24.7
OUT_0108,2021,Q1,Neurology,Patient Monitoring AI,840,367,43.7,103.6,11.3,2.1,6.9,4.7,4548.7,72,8.6,61.2,29.7
OUT_0109,2020,Q1,ICU,Patient Monitoring AI,9709,3747,38.6,100.6,13.4,4.74,9.2,2.4,2218.69,7,7.1,81.3,18.4
OUT_0110,2020,Q1,Pediatrics,Clinical Decision Support,5066,2127,42.0,39.6,10.9,5.48,4.9,2.7,779.57,73,9.2,92.4,4.3
OUT_0111,2022,Q1,Pediatrics,Chatbot Triage,9374,5083,54.2,117.5,7.6,3.2,12.3,0.6,3918.24,153,8.7,90.7,15.2
OUT_0112,2023,Q1,Radiology,Predictive Analytics,3024,2008,66.4,37.0,11.7,6.43,6.5,8.0,3402.9,11,8.8,56.0,8.6
OUT_0113,2021,Q4,Emergency,AI Pathology,3192,2972,93.1,37.3,18.2,3.31,13.1,2.5,2211.27,117,8.5,65.3,24.6
OUT_0114,2020,Q4,Pathology,Clinical Decision Support,9459,8806,93.1,95.0,10.0,4.17,9.1,4.7,3838.55,9,9.5,83.3,2.5
OUT_0115,2024,Q1,Pathology,Chatbot Triage,3522,2555,72.5,77.3,17.7,1.11,6.9,3.3,1376.56,64,6.5,88.5,28.6
OUT_0116,2020,Q1,ICU,NLP for Medical Records,7740,2622,33.9,68.4,8.9,0.72,5.8,2.7,2584.44,148,6.1,60.9,23.6
OUT_0117,2023,Q1,Surgery,AI Diagnostics,1990,1072,53.9,52.9,6.3,3.75,7.5,8.0,4726.91,76,6.7,86.0,4.3
OUT_0118,2021,Q1,Radiology,AI Pathology,9094,3081,33.9,17.2,5.0,3.65,5.8,2.0,756.73,90,6.6,64.4,5.0
OUT_0119,2022,Q2,Oncology,Radiology AI,2889,1875,64.9,24.5,14.9,3.48,12.8,9.4,487.21,23,7.6,74.8,12.4
OUT_0120,2020,Q4,General Medicine,Chatbot Triage,1274,461,36.2,79.4,4.7,2.71,1.3,5.8,3002.37,107,9.0,59.4,29.7
OUT_0121,2020,Q3,Oncology,Radiology AI,2177,1438,66.1,32.6,12.3,5.16,13.8,9.9,3867.2,144,10.0,52.2,15.2
OUT_0122,2023,Q1,Pathology,Chatbot Triage,3052,1106,36.2,86.2,13.1,5.73,9.5,1.1,2836.43,68,9.9,83.6,2.3
OUT_0123,2024,Q4,Oncology,AI Diagnostics,1011,899,88.9,16.0,8.0,4.4,10.1,3.3,2371.27,12,8.5,60.6,15.0
OUT_0124,2023,Q2,General Medicine,Patient Monitoring AI,5112,4365,85.4,34.4,14.6,7.88,7.3,7.9,1991.29,83,9.6,77.7,16.3
OUT_0125,2023,Q3,Neurology,AI Pathology,6215,3296,53.0,79.9,14.2,1.47,4.9,7.4,1794.82,28,9.9,59.2,1.1
OUT_0126,2023,Q1,Pediatrics,Predictive Analytics,2225,775,34.8,111.0,7.8,7.61,6.6,9.5,4178.96,42,7.5,69.5,10.1
OUT_0127,2024,Q3,Cardiology,AI Diagnostics,1556,1192,76.6,93.9,16.9,1.99,13.6,2.8,1928.97,178,5.2,96.6,11.2
OUT_0128,2021,Q2,Oncology,Predictive Analytics,9758,7954,81.5,33.3,5.3,4.73,8.7,8.3,4375.17,48,7.6,62.5,8.0
OUT_0129,2022,Q2,Pathology,Robotic Surgery AI,8640,6348,73.5,101.4,18.6,3.09,8.9,8.3,4552.59,67,9.2,53.4,8.1
OUT_0130,2024,Q4,Neurology,Chatbot Triage,292,221,75.7,40.2,12.6,1.37,2.1,6.5,1331.35,117,5.9,57.6,11.5
OUT_0131,2023,Q2,Neurology,Chatbot Triage,6665,4418,66.3,44.2,5.3,1.82,3.8,1.8,3050.91,84,8.9,71.0,21.4
OUT_0132,2022,Q1,General Medicine,AI Diagnostics,2233,1185,53.1,11.9,11.6,4.18,1.6,5.4,2876.4,102,9.0,56.6,15.8
OUT_0133,2021,Q2,General Medicine,Radiology AI,2842,1536,54.0,53.2,16.6,1.08,10.6,8.6,1315.8,113,5.0,76.0,18.9
OUT_0134,2020,Q1,Neurology,AI Drug Discovery,340,215,63.2,94.5,13.4,5.62,8.7,8.2,2258.0,54,7.4,76.9,25.9
OUT_0135,2021,Q2,Emergency,AI Drug Discovery,2839,1846,65.0,11.4,6.4,3.91,1.9,1.8,494.69,130,6.8,69.8,3.6
OUT_0136,2020,Q3,General Medicine,NLP for Medical Records,9740,5334,54.8,51.4,13.7,2.37,13.4,4.9,3975.02,46,5.4,95.5,9.6
OUT_0137,2021,Q4,Oncology,AI Drug Discovery,3628,2811,77.5,79.8,17.8,7.44,12.9,9.3,2566.54,161,6.1,59.4,20.4
OUT_0138,2022,Q4,General Medicine,NLP for Medical Records,2400,1249,52.0,91.0,10.6,4.02,11.6,2.8,4460.99,89,8.6,57.7,15.2
OUT_0139,2024,Q3,Surgery,NLP for Medical Records,4323,2371,54.8,59.6,3.6,4.52,11.0,1.6,1912.62,75,8.4,63.0,17.7
OUT_0140,2021,Q4,Oncology,Predictive Analytics,1141,559,49.0,14.6,13.6,0.97,14.6,3.7,4783.3,86,7.2,79.4,13.7
OUT_0141,2020,Q1,Neurology,Robotic Surgery AI,8647,8088,93.5,106.8,13.4,5.59,2.5,6.4,2880.37,100,6.9,62.0,25.2
OUT_0142,2021,Q1,Surgery,AI Diagnostics,5660,4881,86.2,79.8,17.3,5.84,11.2,6.5,2947.77,82,5.4,81.5,4.8
OUT_0143,2024,Q1,Pathology,Chatbot Triage,5693,2681,47.1,114.3,16.9,3.79,12.1,6.8,1875.12,51,6.4,57.6,19.9
OUT_0144,2020,Q4,Cardiology,Predictive Analytics,6112,3126,51.1,82.0,6.8,0.77,11.4,5.5,4693.62,149,9.8,98.0,16.8
OUT_0145,2021,Q2,Neurology,Patient Monitoring AI,7197,3229,44.9,76.6,6.7,1.12,4.0,6.6,1179.82,175,7.7,88.1,14.3
OUT_0146,2021,Q4,Emergency,Clinical Decision Support,9832,6505,66.2,39.9,8.0,3.23,13.1,6.2,968.13,147,9.6,76.3,25.3
OUT_0147,2023,Q3,Cardiology,Patient Monitoring AI,5282,4329,82.0,56.5,18.6,2.13,10.4,9.4,2499.08,7,6.8,76.0,11.1
OUT_0148,2022,Q1,General Medicine,Patient Monitoring AI,409,276,67.5,52.3,17.3,5.88,5.3,9.0,3878.84,34,7.4,59.8,17.6
OUT_0149,2023,Q3,Pathology,Robotic Surgery AI,8341,7742,92.8,18.9,13.6,1.51,14.7,8.5,2358.55,36,10.0,74.6,26.5
OUT_0150,2021,Q1,Radiology,AI Drug Discovery,5526,3685,66.7,104.0,5.8,4.94,14.4,7.1,4185.66,65,6.0,87.2,18.1
OUT_0151,2023,Q2,Oncology,Clinical Decision Support,6424,2496,38.9,37.9,12.9,4.68,12.1,8.5,1382.01,178,9.9,60.1,13.2
OUT_0152,2020,Q1,Cardiology,Robotic Surgery AI,7964,4849,60.9,65.5,9.3,5.93,7.4,6.4,1089.23,49,8.5,64.9,14.4
OUT_0153,2024,Q4,ICU,AI Pathology,3277,3112,95.0,36.6,14.4,1.82,14.8,7.6,3140.67,59,5.9,74.8,17.5
OUT_0154,2024,Q2,Neurology,Patient Monitoring AI,1339,1102,82.3,57.6,6.5,3.63,8.4,5.5,4508.06,42,7.9,68.3,20.6
OUT_0155,2021,Q4,Emergency,Robotic Surgery AI,8968,4821,53.8,33.2,6.4,0.71,5.7,3.1,609.94,43,7.0,65.2,25.8
OUT_0156,2023,Q3,Radiology,Chatbot Triage,5053,2116,41.9,41.1,5.6,7.95,14.5,5.0,1204.3,46,9.3,87.2,25.8
OUT_0157,2022,Q4,Neurology,Radiology AI,655,454,69.3,113.9,18.2,5.55,2.8,2.1,2094.19,25,5.1,62.3,27.4
OUT_0158,2021,Q1,Radiology,NLP for Medical Records,4890,2861,58.5,75.9,10.3,2.42,5.6,2.6,3512.36,35,6.5,91.7,6.7
OUT_0159,2020,Q2,Pediatrics,NLP for Medical Records,8449,6995,82.8,11.8,8.3,2.22,1.1,2.8,1531.89,125,6.2,86.8,8.6
OUT_0160,2022,Q3,General Medicine,Radiology AI,7735,4153,53.7,68.2,9.5,0.96,6.9,5.3,3009.36,166,7.5,78.2,7.4
OUT_0161,2021,Q2,Neurology,Predictive Analytics,1857,686,36.9,16.3,17.1,2.86,8.9,6.9,1900.37,110,9.2,88.1,1.5
OUT_0162,2021,Q4,Pediatrics,Patient Monitoring AI,1623,643,39.6,115.1,6.9,7.43,3.1,7.5,2142.34,124,8.3,95.8,14.4
OUT_0163,2021,Q4,Radiology,Chatbot Triage,3961,3129,79.0,51.2,9.4,4.65,5.3,4.7,4647.73,81,6.9,85.7,20.0
OUT_0164,2021,Q4,Radiology,Predictive Analytics,1238,1168,94.3,39.3,5.6,7.61,10.5,6.1,4573.71,98,5.2,70.1,6.6
OUT_0165,2020,Q1,Cardiology,Chatbot Triage,9596,5597,58.3,118.0,5.8,1.22,5.9,6.7,3095.07,32,9.8,51.4,15.0
OUT_0166,2024,Q2,Neurology,Predictive Analytics,7487,5175,69.1,117.1,11.9,0.99,11.9,7.0,4746.68,147,6.5,82.4,8.9
OUT_0167,2022,Q1,Oncology,AI Diagnostics,3983,2325,58.4,113.8,13.4,5.1,14.4,9.4,3739.71,33,7.0,61.1,7.1
OUT_0168,2022,Q2,Oncology,Robotic Surgery AI,4480,3748,83.7,108.7,18.7,4.46,11.4,3.1,2868.71,58,7.5,81.1,26.3
OUT_0169,2022,Q2,Pediatrics,Clinical Decision Support,9215,5262,57.1,62.0,18.0,1.02,10.8,3.0,1197.88,38,5.6,87.4,14.8
OUT_0170,2021,Q2,Surgery,Predictive Analytics,3929,2013,51.2,13.5,16.3,2.91,2.9,2.7,3185.39,71,9.2,57.7,24.3
OUT_0171,2023,Q3,Oncology,Robotic Surgery AI,5114,4597,89.9,55.1,4.9,4.64,9.6,7.8,1900.1,159,9.7,97.2,23.4
OUT_0172,2022,Q3,Pathology,Predictive Analytics,5648,4475,79.2,8.3,13.4,6.78,6.5,1.5,3178.55,67,8.5,57.3,11.7
OUT_0173,2020,Q4,Radiology,Chatbot Triage,3276,2168,66.2,96.0,14.4,4.84,12.7,6.5,405.1,85,9.9,74.2,15.4
OUT_0174,2020,Q1,Pediatrics,Radiology AI,1571,628,40.0,31.4,15.6,3.74,11.2,1.1,1309.92,87,6.5,92.8,6.7
OUT_0175,2020,Q3,Oncology,Radiology AI,6192,5869,94.8,73.6,6.9,7.19,11.4,1.7,3433.36,147,8.5,61.4,17.0
OUT_0176,2021,Q2,Pathology,AI Pathology,4091,3362,82.2,46.8,5.8,7.4,14.2,4.6,630.17,52,6.0,90.2,22.5
