Timestamp,  1.What best describes you?  ,  2. What is your level of education?  ,3. Age Group,4. Gender, 5. Do you use AI tools for learning or teaching?  ,6. Which AI tools do you use most frequently? (Select all that apply),  7. How often do you use AI in your studies or teaching?  ,  8. Has AI improved your learning or teaching experience?  ,"  9. Approximately how much time does AI save you each week for studying, preparing lessons, or completing assignments?  ",  10. AI helps me understand difficult concepts more effectively.  ,  11. Which educational benefit of AI do you value the most?  ,  12. Do you believe AI helps improve employability by supporting skill development?  ,  13. Do you think excessive use of AI reduces students' critical thinking and creativity?  ,14.  Are you concerned that students may misuse AI for assignments or examinations? ,15.  How concerned are you about privacy and data security while using AI-based educational platforms? , 16. Do you think teachers and students require training to use AI effectively and responsibly?  ,"17. Overall, how do you rate AI's impact on education in India?  "
2026-06-17 13:50:15.608,College Student,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Moderately,1–3 hours,Agree,Personalized Learning,Not Sure,Agree,Highly Concerned,Very Concerned,Yes,Positive
2026-06-17 14:07:06.054,School Student,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Grammarly",Daily,Moderately,More than 6 hours,Strongly Agree,Personalized Learning,Yes,Agree,Moderately Concerned,Neutral,Yes,Neutral
2026-06-17 14:07:26.819,Teacher/Faculty,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Significantly,1–3 hours,Neutral,Skill Development,Yes,Agree,Highly Concerned,Concerned,Not Sure,Positive
2026-06-17 14:14:13.422,Working Professional ,Postgraduate,31–40 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot, Grammarly, Duolingo, AI-powered LMS (Learning Management System), Other",Daily,Significantly,More than 6 hours,Strongly Agree,Faster Assignment Completion,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Negative
2026-06-17 14:17:56.901,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Significantly,1–3 hours,Agree,Improved Accessibility,Not Sure,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-17 14:19:12.437,College Student,Postgraduate,21–30 years,Male,Yes,"AI-powered LMS (Learning Management System), Other",Daily,Moderately,Less than 1 hour,Agree,Personalized Learning,Yes,Strongly Agree,Slightly Concerned,Concerned,No,Neutral
2026-06-17 14:34:05.218,Working Professional pursuing education,Postgraduate,21–30 years,Female,Yes,"Microsoft Copilot, Other",Weekly,Moderately,1–3 hours,Agree,Faster Assignment Completion,Yes,Agree,Moderately Concerned,Very Concerned,Yes,Neutral
2026-06-17 14:34:21.478,College Student,Postgraduate,18–20 years,Female,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,1–3 hours,Strongly Agree,Skill Development,Yes,Agree,Moderately Concerned,Concerned,Not Sure,Positive
2026-06-17 14:34:50.946,House wife,School,41–50 years,Female,Yes,"ChatGPT, Google Gemini",Weekly,Significantly,1–3 hours,Neutral,Personalized Learning,Yes,Neutral,Slightly Concerned,Neutral,Yes,Neutral
2026-06-17 14:38:09.030,Research Scholar,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Grammarly",Daily,Moderately,1–3 hours,Agree,Faster Assignment Completion,Yes,Strongly Agree,Highly Concerned,Neutral,Not Sure,Positive
2026-06-17 14:38:11.882,Working Professional pursuing education,Diploma,21–30 years,Male,Yes,ChatGPT,Weekly,Moderately,Less than 1 hour,Agree,Better Research Assistance,Not Sure,Agree,Moderately Concerned,Slightly Concerned,Yes,Positive
2026-06-17 14:44:59.957,College Student,Undergraduate,18–20 years,Female,Yes,ChatGPT,Rarely,Moderately,Less than 1 hour,Agree,Faster Assignment Completion,Yes,Agree,Highly Concerned,Neutral,Yes,Neutral
2026-06-17 14:49:05.159,Working Professional pursuing education,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Grammarly, Duolingo",Weekly,Moderately,1–3 hours,Agree,Better Research Assistance,Not Sure,Agree,Moderately Concerned,Neutral,No,Positive
2026-06-17 14:49:22.789,Working Professional pursuing education,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Weekly,Moderately,Less than 1 hour,Strongly Agree,Improved Accessibility,Yes,Agree,Highly Concerned,Concerned,Yes,Neutral
2026-06-17 14:51:46.721,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Significantly,Less than 1 hour,Strongly Agree,Better Research Assistance,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-17 14:55:53.761,Working Professional pursuing education,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Microsoft Copilot, Duolingo, AI-powered LMS (Learning Management System)",Daily,Significantly,1–3 hours,Strongly Agree,Personalized Learning,Yes,Agree,Moderately Concerned,Very Concerned,Yes,Positive
2026-06-17 15:08:19.228,Working Professional ,Undergraduate,31–40 years,Male,Yes,"ChatGPT, Microsoft Copilot",Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Neutral,Highly Concerned,Very Concerned,No,Neutral
2026-06-17 15:09:53.150,College Student,Undergraduate,21–30 years,Male,Yes,ChatGPT,Weekly,Moderately,1–3 hours,Agree,Personalized Learning,Not Sure,Agree,Moderately Concerned,Concerned,Yes,Positive
2026-06-17 15:18:29.061,Working Professional pursuing education,Postgraduate,21–30 years,Female,Yes,ChatGPT,Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-17 15:29:38.431,College Student,Undergraduate,21–30 years,Male,No,"ChatGPT, Google Gemini",Weekly,Slightly,4–6 hours,Agree,Faster Assignment Completion,Yes,Agree,Slightly Concerned,Concerned,Not Sure,Positive
2026-06-17 15:34:19.240,Working Professional ,Undergraduate,31–40 years,Male,Yes,"ChatGPT, Google Gemini",Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Neutral
2026-06-17 15:34:44.375,Teacher/Faculty,Undergraduate,21–30 years,Female,Yes,ChatGPT,Rarely,Slightly,1–3 hours,Neutral,Skill Development,Yes,Agree,Slightly Concerned,Neutral,Not Sure,Neutral
2026-06-17 15:50:35.686,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Other",Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Agree,Highly Concerned,Very Concerned,Yes,Positive
2026-06-17 16:52:35.827,College Student,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Grammarly",Daily,Significantly,Less than 1 hour,Agree,Skill Development,Not Sure,Agree,Moderately Concerned,Very Concerned,No,Neutral
2026-06-17 17:16:17.662,College Student,Postgraduate,18–20 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Slightly,Less than 1 hour,Agree,Better Research Assistance,Not Sure,Neutral,Slightly Concerned,Slightly Concerned,Not Sure,Positive
2026-06-17 17:43:02.724,College Student,Undergraduate,18–20 years,Male,Yes,"ChatGPT, Google Gemini, Grammarly, Other",Weekly,Moderately,Less than 1 hour,Neutral,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Neutral,Yes,Positive
2026-06-17 17:51:17.354,Working Professional pursuing education,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Weekly,Significantly,4–6 hours,Strongly Disagree,Faster Assignment Completion,Yes,Neutral,Highly Concerned,Neutral,No,Very Positive
2026-06-17 18:33:57.797,Working Professional pursuing education,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Weekly,Moderately,Less than 1 hour,Agree,Faster Assignment Completion,Yes,Agree,Moderately Concerned,Concerned,Yes,Positive
2026-06-17 18:49:06.980,Software engineer ,Undergraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-17 19:00:29.350,College Student,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Weekly,Significantly,Less than 1 hour,Agree,Personalized Learning,Not Sure,Neutral,Slightly Concerned,Neutral,Not Sure,Positive
2026-06-17 19:06:39.275,College Student,Postgraduate,21–30 years,Female,No,Other,Never,No Improvement,Less than 1 hour,Strongly Disagree,Personalized Learning,No,Strongly Agree,Highly Concerned,Concerned,No,Very Negative
2026-06-17 19:14:48.428,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Other",Daily,Moderately,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Agree,Highly Concerned,Very Concerned,Yes,Neutral
2026-06-17 19:29:39.321,Working Professional pursuing education,Undergraduate,21–30 years,Male,Yes,Other,Weekly,Moderately,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-17 20:07:45.039,College Student,Postgraduate,21–30 years,Male,Yes,ChatGPT,Rarely,Moderately,More than 6 hours,Neutral,Better Research Assistance,Yes,Neutral,Moderately Concerned,Concerned,No,Neutral
2026-06-17 20:15:30.633,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,1–3 hours,Strongly Agree,Personalized Learning,Not Sure,Agree,Moderately Concerned,Concerned,Not Sure,Positive
2026-06-17 20:56:41.622,Career break girl,Undergraduate,21–30 years,Female,Yes,ChatGPT,Daily,Slightly,1–3 hours,Strongly Disagree,Language Translation,No,Strongly Agree,Highly Concerned,Very Concerned,No,Very Negative
2026-06-17 21:00:40.535,College Student,Undergraduate,21–30 years,Female,Yes,ChatGPT,Weekly,Significantly,1–3 hours,Agree,Personalized Learning,Yes,Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-17 23:37:43.792,College Student,Postgraduate,21–30 years,Female,Yes,ChatGPT,Weekly,Moderately,1–3 hours,Neutral,Better Research Assistance,Not Sure,Neutral,Moderately Concerned,Neutral,Not Sure,Neutral
2026-06-18 00:10:51.676,College Student,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Moderately,1–3 hours,Agree,Better Research Assistance,Yes,Neutral,Highly Concerned,Very Concerned,Yes,Neutral
2026-06-18 11:26:55.689,College Student,Postgraduate,21–30 years,Male,Yes,AI-powered LMS (Learning Management System),Daily,Significantly,Less than 1 hour,Strongly Agree,Better Research Assistance,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-18 11:51:42.049,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Grammarly, Duolingo",Daily,Moderately,1–3 hours,Strongly Agree,Skill Development,Not Sure,Agree,Moderately Concerned,Slightly Concerned,Not Sure,Neutral
2026-06-18 19:21:04.748,College Student,Postgraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,1–3 hours,Strongly Agree,Better Research Assistance,Yes,Strongly Agree,Slightly Concerned,Neutral,Yes,Very Positive
2026-06-18 21:11:04.276,College Student,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini",Daily,Significantly,4–6 hours,Strongly Agree,Improved Accessibility,Yes,Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-18 21:36:13.517,College Student,Undergraduate,18–20 years,Male,Yes,ChatGPT,Daily,Significantly,Less than 1 hour,Strongly Agree,Language Translation,Yes,Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-18 21:37:34.473,Working Professional pursuing education,Undergraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini",Daily,Moderately,Less than 1 hour,Agree,Personalized Learning,Yes,Agree,Moderately Concerned,Neutral,Yes,Positive
2026-06-18 21:43:33.371,College Student,Undergraduate,18–20 years,Male,Yes,"ChatGPT, Google Gemini, Duolingo",Daily,Moderately,Less than 1 hour,Strongly Agree,Better Research Assistance,Yes,Neutral,Moderately Concerned,Neutral,Yes,Neutral
2026-06-18 21:43:42.808,College Student,Undergraduate,18–20 years,Male,Yes,Google Gemini,Daily,Significantly,1–3 hours,Agree,Personalized Learning,Yes,Neutral,Moderately Concerned,Neutral,Not Sure,Very Positive
2026-06-18 21:54:43.559,College Student,Undergraduate,18–20 years,Female,Yes,ChatGPT,Rarely,Slightly,1–3 hours,Agree,Better Research Assistance,Not Sure,Agree,Slightly Concerned,Slightly Concerned,Not Sure,Neutral
2026-06-19 15:42:56.473,College Student,Postgraduate,18–20 years,Female,Yes,ChatGPT,Daily,Significantly,1–3 hours,Strongly Agree,Personalized Learning,Yes,Disagree,Not Concerned,Concerned,Yes,Positive
2026-06-19 16:47:39.171,Working professional ,Postgraduate,21–30 years,Female,Yes,Other,Daily,Significantly,4–6 hours,Strongly Agree,Skill Development,Yes,Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-20 01:24:39.931,Working Professional pursuing education,Undergraduate,21–30 years,Female,No,"ChatGPT, Google Gemini",Weekly,Slightly,Less than 1 hour,Agree,Language Translation,Yes,Strongly Agree,Highly Concerned,Not Concerned,Yes,Neutral
2026-06-20 07:35:33.813,College Student,Undergraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Other",Weekly,Moderately,Less than 1 hour,Agree,Faster Assignment Completion,Yes,Strongly Agree,Highly Concerned,Concerned,Yes,Very Positive
2026-06-20 20:01:22.722,College Student,Undergraduate,18–20 years,Female,Yes,ChatGPT,Weekly,Significantly,1–3 hours,Agree,Personalized Learning,Yes,Strongly Agree,Moderately Concerned,Concerned,Yes,Positive
2026-06-21 11:37:57.465,College Student,Undergraduate,18–20 years,Female,Yes,"ChatGPT, Google Gemini, Other",Daily,Moderately,1–3 hours,Neutral,Personalized Learning,Yes,Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-22 20:29:35.893,College Student,Undergraduate,18–20 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Moderately,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Not Concerned,Very Concerned,Yes,Neutral
2026-06-22 20:32:50.278,Research Scholar,PhD,21–30 years,Female,Yes,Other,Daily,Significantly,4–6 hours,Strongly Agree,Personalized Learning,Yes,Neutral,Not Concerned,Neutral,Yes,Neutral
2026-06-22 20:37:09.255,Working Professional pursuing education,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini",Daily,Moderately,1–3 hours,Neutral,Personalized Learning,Yes,Neutral,Moderately Concerned,Neutral,Yes,Neutral
2026-06-22 20:40:04.344,Working Professional pursuing education,Postgraduate,31–40 years,Male,No,"ChatGPT, Google Gemini, Duolingo, Other",Weekly,Moderately,4–6 hours,Strongly Agree,Improved Accessibility,Yes,Agree,Highly Concerned,Neutral,Not Sure,Positive
2026-06-23 03:21:24.159,Working Professional pursuing education,Postgraduate,21–30 years,Female,Yes,ChatGPT,Daily,Significantly,1–3 hours,Strongly Agree,Personalized Learning,Yes,Agree,Highly Concerned,Very Concerned,Yes,Positive
2026-06-24 15:20:00.788,College Student,Postgraduate,21–30 years,Male,Yes,ChatGPT,Weekly,Moderately,Less than 1 hour,Neutral,Better Research Assistance,Not Sure,Neutral,Moderately Concerned,Slightly Concerned,Yes,Positive
2026-06-24 15:21:38.386,Working Professional pursuing education,PhD,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot, Grammarly, Duolingo",Daily,Moderately,More than 6 hours,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-24 15:22:27.821,College Student,Postgraduate,21–30 years,Male,No,ChatGPT,Rarely,Moderately,1–3 hours,Agree,Faster Assignment Completion,Yes,Agree,Moderately Concerned,Concerned,Yes,Positive
2026-06-24 15:24:17.843,Working Professional pursuing education,Undergraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Other",Weekly,Moderately,Less than 1 hour,Agree,Personalized Learning,Yes,Strongly Agree,Moderately Concerned,Concerned,Yes,Positive
2026-06-24 15:24:48.837,School Student,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot, Grammarly, Duolingo, AI-powered LMS (Learning Management System)",Daily,Significantly,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-24 15:25:10.770,Working Professional pursuing education,Postgraduate,21–30 years,Male,Yes,ChatGPT,Daily,Significantly,1–3 hours,Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Concerned,Yes,Positive
2026-06-24 15:25:25.782,Working Professional pursuing education,Undergraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Other",Weekly,Moderately,Less than 1 hour,Strongly Agree,Personalized Learning,Yes,Agree,Moderately Concerned,Concerned,Yes,Positive
2026-06-24 15:31:55.095,Working Professional pursuing education,Undergraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini",Daily,Significantly,1–3 hours,Strongly Agree,Personalized Learning,Yes,Neutral,Moderately Concerned,Very Concerned,Yes,Positive
2026-06-24 15:34:31.953,College Student,Undergraduate,18–20 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Significantly,1–3 hours,Strongly Agree,Personalized Learning,Yes,Agree,Highly Concerned,Very Concerned,Yes,Positive
2026-06-24 16:01:28.612,College Student,Diploma,18–20 years,Male,Yes,ChatGPT,Daily,Significantly,Less than 1 hour,Strongly Agree,Better Research Assistance,Yes,Strongly Agree,Slightly Concerned,Very Concerned,Yes,Positive
2026-06-24 16:09:50.399,College Student,Undergraduate,18–20 years,Male,Yes,"ChatGPT, Google Gemini, Duolingo",Daily,Moderately,1–3 hours,Agree,Skill Development,Yes,Strongly Agree,Moderately Concerned,Neutral,Yes,Positive
2026-06-24 17:55:56.156,Working ,Postgraduate,21–30 years,Female,Yes,ChatGPT,Daily,Moderately,1–3 hours,Agree,Better Research Assistance,Yes,Agree,Moderately Concerned,Very Concerned,Not Sure,Positive
2026-06-24 19:26:21.832,College Student,Undergraduate,18–20 years,Male,Yes,"ChatGPT, Google Gemini",Daily,Significantly,1–3 hours,Strongly Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-06-25 23:17:15.053,House wife ,Undergraduate,31–40 years,Female,Yes,"ChatGPT, Google Gemini",Daily,Significantly,Less than 1 hour,Agree,Language Translation,Yes,Agree,Highly Concerned,Concerned,Yes,Positive
2026-07-03 10:32:52.837,Working Professional pursuing education,Undergraduate,21–30 years,Female,Yes,"ChatGPT, Google Gemini, Microsoft Copilot",Daily,Significantly,1–3 hours,Agree,Personalized Learning,Yes,Strongly Agree,Highly Concerned,Very Concerned,Yes,Very Positive
2026-07-05 19:51:21.261,Working Professional pursuing education,Postgraduate,21–30 years,Male,Yes,"ChatGPT, Google Gemini, Microsoft Copilot, Duolingo",Daily,Moderately,Less than 1 hour,Strongly Agree,Better Research Assistance,Yes,Strongly Agree,Highly Concerned,Concerned,Yes,Positive
